Product	Month	Year	Location	TargetSales
BROOKLYN IPA	Oct	2012	DEL	35
BROOKLYN IPA	Oct	2012	MUM	15
BROOKLYN IPA	Oct	2012	PUN	5
BROOKLYN IPA	Oct	2012	GGN	10
BROOKLYN IPA	Oct	2012	GOA	0
BROOKLYN IPA	Oct	2012	CDG	0
BROOKLYN IPA	Oct	2012	RAJ	5
BROOKLYN IPA	Oct	2012	KOL	15
SAISON DUPONT	Oct	2012	DEL	0
SAISON DUPONT	Oct	2012	MUM	0
SAISON DUPONT	Oct	2012	PUN	0
SAISON DUPONT	Oct	2012	GGN	0
SAISON DUPONT	Oct	2012	GOA	0
SAISON DUPONT	Oct	2012	CDG	0
SAISON DUPONT	Oct	2012	RAJ	0
SAISON DUPONT	Oct	2012	KOL	0
DUVEL	Nov	2012	DEL	100
DUVEL	Nov	2012	MUM	40
DUVEL	Nov	2012	PUN	20
DUVEL	Nov	2012	GGN	5
DUVEL	Nov	2012	GOA	10
DUVEL	Nov	2012	CDG	0
DUVEL	Nov	2012	RAJ	3
DUVEL	Nov	2012	KOL	30
LIEFMANS	Nov	2012	DEL	75
LIEFMANS	Nov	2012	MUM	20
LIEFMANS	Nov	2012	PUN	15
LIEFMANS	Nov	2012	GGN	5
LIEFMANS	Nov	2012	GOA	0
LIEFMANS	Nov	2012	CDG	0
LIEFMANS	Nov	2012	RAJ	3
LIEFMANS	Nov	2012	KOL	0
CHIMAY	Nov	2012	DEL	50
CHIMAY	Nov	2012	MUM	25
CHIMAY	Nov	2012	PUN	20
CHIMAY	Nov	2012	GGN	5
CHIMAY	Nov	2012	GOA	10
CHIMAY	Nov	2012	CDG	0
CHIMAY	Nov	2012	RAJ	3
CHIMAY	Nov	2012	KOL	0
WEIHENSTEPHANER	Nov	2012	DEL	50
WEIHENSTEPHANER	Nov	2012	MUM	30
WEIHENSTEPHANER	Nov	2012	PUN	15
WEIHENSTEPHANER	Nov	2012	GGN	5
WEIHENSTEPHANER	Nov	2012	GOA	0
WEIHENSTEPHANER	Nov	2012	CDG	0
WEIHENSTEPHANER	Nov	2012	RAJ	3
WEIHENSTEPHANER	Nov	2012	KOL	0
FRUEH	Nov	2012	DEL	50
FRUEH	Nov	2012	MUM	30
FRUEH	Nov	2012	PUN	15
FRUEH	Nov	2012	GGN	5
FRUEH	Nov	2012	GOA	10
FRUEH	Nov	2012	CDG	0
FRUEH	Nov	2012	RAJ	3
FRUEH	Nov	2012	KOL	0
ESTRELLA DAMM	Nov	2012	DEL	100
ESTRELLA DAMM	Nov	2012	MUM	75
ESTRELLA DAMM	Nov	2012	PUN	45
ESTRELLA DAMM	Nov	2012	GGN	15
ESTRELLA DAMM	Nov	2012	GOA	20
ESTRELLA DAMM	Nov	2012	CDG	0
ESTRELLA DAMM	Nov	2012	RAJ	10
ESTRELLA DAMM	Nov	2012	KOL	40
BROOKLYN LAGER	Nov	2012	DEL	50
BROOKLYN LAGER	Nov	2012	MUM	15
BROOKLYN LAGER	Nov	2012	PUN	15
BROOKLYN LAGER	Nov	2012	GGN	5
BROOKLYN LAGER	Nov	2012	GOA	0
BROOKLYN LAGER	Nov	2012	CDG	0
BROOKLYN LAGER	Nov	2012	RAJ	2
BROOKLYN LAGER	Nov	2012	KOL	0
BROOKLYN IPA	Nov	2012	DEL	35
BROOKLYN IPA	Nov	2012	MUM	15
BROOKLYN IPA	Nov	2012	PUN	5
BROOKLYN IPA	Nov	2012	GGN	5
BROOKLYN IPA	Nov	2012	GOA	0
BROOKLYN IPA	Nov	2012	CDG	0
BROOKLYN IPA	Nov	2012	RAJ	3
BROOKLYN IPA	Nov	2012	KOL	30
SAISON DUPONT	Nov	2012	DEL	0
SAISON DUPONT	Nov	2012	MUM	0
SAISON DUPONT	Nov	2012	PUN	0
SAISON DUPONT	Nov	2012	GGN	0
SAISON DUPONT	Nov	2012	GOA	0
SAISON DUPONT	Nov	2012	CDG	0
SAISON DUPONT	Nov	2012	RAJ	0
SAISON DUPONT	Nov	2012	KOL	0
DUVEL	Dec	2012	DEL	100
DUVEL	Dec	2012	MUM	40
DUVEL	Dec	2012	PUN	20
DUVEL	Dec	2012	GGN	5
DUVEL	Dec	2012	GOA	10
DUVEL	Dec	2012	CDG	0
DUVEL	Dec	2012	RAJ	5
DUVEL	Dec	2012	KOL	15
LIEFMANS	Dec	2012	DEL	75
LIEFMANS	Dec	2012	MUM	20
LIEFMANS	Dec	2012	PUN	15
LIEFMANS	Dec	2012	GGN	5
LIEFMANS	Dec	2012	GOA	0
LIEFMANS	Dec	2012	CDG	0
LIEFMANS	Dec	2012	RAJ	5
LIEFMANS	Dec	2012	KOL	0
CHIMAY	Dec	2012	DEL	50
CHIMAY	Dec	2012	MUM	25
CHIMAY	Dec	2012	PUN	20
CHIMAY	Dec	2012	GGN	5
CHIMAY	Dec	2012	GOA	10
CHIMAY	Dec	2012	CDG	0
CHIMAY	Dec	2012	RAJ	5
CHIMAY	Dec	2012	KOL	0
WEIHENSTEPHANER	Dec	2012	DEL	50
WEIHENSTEPHANER	Dec	2012	MUM	30
WEIHENSTEPHANER	Dec	2012	PUN	15
WEIHENSTEPHANER	Dec	2012	GGN	5
WEIHENSTEPHANER	Dec	2012	GOA	0
WEIHENSTEPHANER	Dec	2012	CDG	0
WEIHENSTEPHANER	Dec	2012	RAJ	5
WEIHENSTEPHANER	Dec	2012	KOL	0
FRUEH	Dec	2012	DEL	50
FRUEH	Dec	2012	MUM	30
FRUEH	Dec	2012	PUN	15
FRUEH	Dec	2012	GGN	5
FRUEH	Dec	2012	GOA	10
FRUEH	Dec	2012	CDG	0
FRUEH	Dec	2012	RAJ	5
FRUEH	Dec	2012	KOL	0
ESTRELLA DAMM	Dec	2012	DEL	100
ESTRELLA DAMM	Dec	2012	MUM	75
ESTRELLA DAMM	Dec	2012	PUN	45
ESTRELLA DAMM	Dec	2012	GGN	15
ESTRELLA DAMM	Dec	2012	GOA	20
ESTRELLA DAMM	Dec	2012	CDG	0
ESTRELLA DAMM	Dec	2012	RAJ	15
ESTRELLA DAMM	Dec	2012	KOL	20
BROOKLYN LAGER	Dec	2012	DEL	50
BROOKLYN LAGER	Dec	2012	MUM	15
BROOKLYN LAGER	Dec	2012	PUN	15
BROOKLYN LAGER	Dec	2012	GGN	5
BROOKLYN LAGER	Dec	2012	GOA	0
BROOKLYN LAGER	Dec	2012	CDG	0
BROOKLYN LAGER	Dec	2012	RAJ	5
BROOKLYN LAGER	Dec	2012	KOL	0
BROOKLYN IPA	Dec	2012	DEL	35
BROOKLYN IPA	Dec	2012	MUM	15
BROOKLYN IPA	Dec	2012	PUN	5
BROOKLYN IPA	Dec	2012	GGN	5
BROOKLYN IPA	Dec	2012	GOA	0
BROOKLYN IPA	Dec	2012	CDG	0
BROOKLYN IPA	Dec	2012	RAJ	5
BROOKLYN IPA	Dec	2012	KOL	15
SAISON DUPONT	Dec	2012	DEL	0
