RollNo	InstallmentNo	PayMode	ChequeNo	ChequeDate	DrawnOn	ReceiptNo	BankPunchNo	FinalAmt	AdvanceAmt	BalanceAmt	LateFee	CreatedBy	CreatedDate	LastUpdatedBy	LastUpdatedDate	SchoolCode	Reclot	sendtoac	receivedate	chkbounce	reason	ForSession	Narration	ChqBounceFee
S0802565	5	CHEQUE	843424	00:00.0	ORIENTAL BANK OF COM	1094	NULL	26800	0	0	0	lallan	48:55.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0903889	5	CHEQUE	619110	00:00.0	HDFC BANK	1095	NULL	11250	0	0	0	lallan	49:22.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0802773	5	CHEQUE	843425	00:00.0	ORIENTAL BANK OF COM	1096	NULL	26800	0	0	0	lallan	49:32.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0802566	5	CHEQUE	843422	00:00.0	ORIENTAL BANK OF COM	1097	NULL	26800	0	0	0	lallan	50:04.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0903550	5	CHEQUE	952398	00:00.0	HDF	1098		11250	0	0	0	lallan	53:28.0	admin	42:20.0	NULL	0	0	00:00.0	0	NULL	NULL		0
S0701962	5	CHEQUE	273292	00:00.0	AXIS	1099	NULL	27200	0	0	0	lallan	53:42.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0903630	5	CHEQUE	952399	00:00.0	HDFC BANK	1100		11250	0	0	0	lallan	55:50.0	admin	43:01.0	NULL	0	0	00:00.0	0	NULL	NULL		0
S0903871	5	CHEQUE	13512	00:00.0	HDFC BANK	1101	NULL	11250	0	0	0	lallan	56:33.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0701777	5	CHEQUE	608139	00:00.0	HDFC BANK	1102	NULL	27200	0	0	0	lallan	03:46.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0802957	5	CHEQUE	611444	00:00.0	ICICI BANK	1103	NULL	22050	0	0	0	lallan	04:48.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0803094	5	CHEQUE	470794	00:00.0	CITI BANK	1104	NULL	22050	0	0	0	lallan	06:09.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0803095	5	CHEQUE	470795	00:00.0	CITI BANK	1105	NULL	22050	0	0	0	lallan	07:04.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0500635	5	CHEQUE	394500	00:00.0	ORIENTAL BANK OF COM	1106	NULL	29250	0	0	0	lallan	08:02.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0500093	5	CHEQUE	34	00:00.0	KOTAK MAHINDRA	1107	NULL	27600	0	0	0	lallan	08:47.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0802567	5	CHEQUE	843423	00:00.0	ORIENTAL BANK OF COM	1108	NULL	26800	0	0	0	lallan	19:20.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0802963	5	CHEQUE	196463	00:00.0	CITI BANK	1109	NULL	28450	0	0	0	lallan	24:16.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0903780	5	CHEQUE	712883	00:00.0	CORPORATION BANK	1110	NULL	9600	0	0	0	lallan	27:39.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0600491	5	CHEQUE	712882	00:00.0	CORPORATION BANK	1111	NULL	29250	0	0	0	lallan	28:50.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0903555	5	CHEQUE	702750	00:00.0	AXIS	1112	NULL	9600	0	0	0	lallan	31:14.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
