UserId	RecId	Item	ItemType	Variety	ForeQty	ForeMonth	QltyParam	UnderKPK	UOM	ForeYear
bhagwan0970	9964	Fertilizer	DAP	IFFCO	10	May	IFFCO	KPK0970	bags	2012
narayanji0970	9912	Seed	Groundnut		10	May	Rasdar	KPK0970	qntls	2012
bhagirath0970	9946	Fertilizer	DAP	IFFCO	1	May	IFFCO	KPK0970	bags	2012
hanuman0970	516	Fertilizer	DAP	IFFCO	10	May	IFFCO	KPK0970	bags	2012
ganga0970	9868	Fertilizer	Urea	Shri Ram	5	May	Shri Ram	KPK0970	bags	2012
bhomaram0970	537	Fertilizer	Urea	NULL	10	May	Shri Ram	KPK0970	bags	2012
sunda0970	249	Fertilizer	DAP	IFFCO	4	May	IFFCO	KPK0970	bags	2012
bhagwan0970	9965	Seed	Groundnut		5	May	Rasdar	KPK0970	qntls	2012
babulal0970	9908	Fertilizer	DAP	IFFCO	5	May	IFFCO	KPK0970	bags	2012
maliram0970	9967	Fertilizer	Urea	Shri Ram	5	May	Shri Ram	KPK0970	bags	2012
rich0970	15250	Fertilizer	Urea	Shri Ram	15	May	Shri Ram	kpk0970	bags	2012
arjun0970	9955	Fertilizer	Urea	Shri Ram	4	May	Shri Ram	KPK0970	bags	2012
rpyadav0970	409	Seed	Groundnut	NULL	3	May	Rasdar	KPK0970	qntls	2012
suwalal0970	9899	Seed	Groundnut		5	May	Rasdar	KPK0970	qntls	2012
bhagirath0970	9948	Seed	Pearl Millet		0.05	May	Mahyco	KPK0970	qntls	2012
mohanlal0970	9881	Seed	Pearl Millet		0.05	May	Pioneer	KPK0970	qntls	2012
jpyadav0970	9929	Fertilizer	Urea	Shri Ram	10	May	Shri Ram	KPK0970	bags	2012
gcyadav0970	117	Fertilizer	Urea	Shri Ram	5	May	Shri Ram	KPK0970	bags	2012
ypsyadav0970	525	Fertilizer	Urea	Shri Ram	4	May	Shri Ram	KPK0970	bags	2012
ramkishor0970	9917	Fertilizer	Urea	Shri Ram	3	May	Shri Ram	KPK0970	bags	2012
maliram0970	9968	Fertilizer	DAP	IFFCO	3	May	IFFCO	KPK0970	bags	2012
bdyadav0970	268	Seed	Pearl Millet	NULL	0.02	May	Maico 2210	KPK0970	qntls	2012
babu0970	282	Fertilizer	Urea	Shri Ram	5	May	Shri Ram	KPK0970	bags	2012
pra0970	277	Seed	Groundnut	NULL	3	May	Rasdar	KPK0970	qntls	2012
rlgurjar0970	9942	Fertilizer	DAP	IFFCO	10	May	IFFCO	KPK0970	bags	2012
kana10970	15257	Fertilizer	Urea	Shri Ram	5	May	Shri Ram	kpk0970	bags	2012
prabhati0970	513	Seed	Groundnut	NULL	8	May	Rasdar	KPK0970	qntls	2012
pappu0970	9935	Fertilizer	Urea	Shri Ram	5	May	Shri Ram	KPK0970	bags	2012
madan0970	9861	Seed	Groundnut		1	May	Rasdar	KPK0970	qntls	2012
rich0970	15251	Fertilizer	DAP	IFFCO	10	May	IFFCO	kpk0970	bags	2012
prahlad0970	354	Fertilizer	DAP	IFFCO	3	May	IFFCO	KPK0970	bags	2012
ganga0970	9871	Seed	Pearl Millet		0.02	May	Mahyco	KPK0970	qntls	2012
pra0970	120	Fertilizer	DAP	IFFCO	5	May	IFFCO	KPK0970	bags	2012
mohanlal0970	9879	Fertilizer	Urea	Shri Ram	5	May	Shri Ram	KPK0970	bags	2012
chhigan0970	203	Fertilizer	DAP	IFFCO	2	May	IFFCO	KPK0970	bags	2012
jpyadav0970	9930	Fertilizer	DAP	IFFCO	4	May	IFFCO	KPK0970	bags	2012
ram0970	9926	Fertilizer	Urea	Shri Ram	5	May	Shri Ram	KPK0970	bags	2012
banwari0970	73	Fertilizer	DAP	IFFCO	2	May	IFFCO	KPK0970	bags	2012
bsyadav0970	425	Fertilizer	Urea	Shri Ram	3	May	Shri Ram	KPK0970	bags	2012
juntha0970	9934	Fertilizer	DAP	IFFCO	5	May	IFFCO	KPK0970	bags	2012
babulal0970	9909	Seed	Groundnut		5	May	Rasdar	KPK0970	qntls	2012
mlyadav	315	Seed	Groundnut	NULL	5	May	Rasdar	KPK0970	qntls	2012
bryadav	214	Fertilizer	DAP	IFFCO	2	May	IFFCO	KPK0970	bags	2012
Choturam0970	388	Seed	Pearl Millet	NULL	0.08	May	Pioneer	KPK0970	qntls	2012
sitaram0970	604	Fertilizer	DAP	IFFCO	2	May	IFFCO	KPK0970	bags	2012
narayan0970	9886	Fertilizer	Urea	Shri Ram	8	May	Shri Ram	KPK0970	bags	2012
glyadav0970	510	Fertilizer	DAP	NULL	2	May	NULL	KPK0970	bags	2012
Choturam0970	420	Seed	Groundnut	NULL	4	May	Rasdar	KPK0970	qntls	2012
mohanlal0970	9882	Seed	Groundnut		2	May	Rasdar	KPK0970	qntls	2012
lryadav0970	397	Seed	Groundnut	NULL	6	May	Rasdar	KPK0970	qntls	2012
bhura0970	374	Seed	Groundnut	NULL	3	May	Rasdar	KPK0970	qntls	2012
ramkishor0970	9918	Fertilizer	DAP	IFFCO	2	May	IFFCO	KPK0970	bags	2012
mlyadav	264	Fertilizer	DAP	IFFCO	7	May	IFFCO	KPK0970	bags	2012
sunda0970	250	Seed	Groundnut	NULL	5	May	Ganesh	KPK0970	qntls	2012
psyadav0970	377	Fertilizer	Urea	NULL	10	May	Shri Ram	KPK0970	bags	2012
banwari0970	35	Fertilizer	Urea	Shri Ram	2	May	Shri Ram	KPK0970	bags	2012
bhagi0970	9962	Seed	Pearl Millet		0.1	May	Mahyco	KPK0970	qntls	2012
boduram0970	9953	Fertilizer	DAP	IFFCO	1	May	IFFCO	KPK0970	bags	2012
pappu0970	9937	Seed	Groundnut		4	May	Rasdar	KPK0970	qntls	2012
kyadav0970	9939	Fertilizer	DAP	IFFCO	3	May	IFFCO	KPK0970	bags	2012
murli0970	545	Seed	Groundnut	NULL	4	May	Rasdar	KPK0970	qntls	2012
kajod0970	9915	Seed	Groundnut		10	May	Rasdar	KPK0970	qntls	2012
mahesh0970	15249	Seed	Groundnut		10	May	Rasdar	kpk0970	qntls	2012
jpyadav0970	9932	Seed	Groundnut		5	May	Rasdar	KPK0970	qntls	2012
bhagirath0970	9945	Fertilizer	Urea	Shri Ram	5	May	Shri Ram	KPK0970	bags	2012
pdyadav0970	442	Fertilizer	DAP	IFFCO	2	May	IFFCO	KPK0970	bags	2012
gcyadav0970	118	Fertilizer	DAP	IFFCO	5	May	IFFCO	KPK0970	bags	2012
