																																																																																																																									
			APRIL									MAY									JUNE									JULY									AUGUST									SEPTEMBER									OCTOBER									NOVEMBER									DECEMBER									JANUARY									FEBRUARY									MARCH									GTOTAL										
			DEL	MUM	PUN	GGN	GOA	CDG	RAJ	KOL	TOT	DEL	MUM	PUN	GGN	GOA	CDG	RAJ	KOL	TOT	DEL	MUM	PUN	GGN	GOA	CDG	RAJ	KOL	TOT	DEL	MUM	PUN	GGN	GOA	CDG	RAJ	KOL	TOT	DEL	MUM	PUN	GGN	GOA	CDG	RAJ	KOL	TOT	DEL	MUM	PUN	GGN	GOA	CDG	RAJ	KOL	TOT	DEL	MUM	PUN	GGN	GOA	CDG	RAJ	KOL	TOT	DEL	MUM	PUN	GGN	GOA	CDG	RAJ	KOL	TOT	DEL	MUM	PUN	GGN	GOA	CDG	RAJ	KOL	TOT	DEL	MUM	PUN	GGN	GOA	CDG	RAJ	KOL	TOT	DEL	MUM	PUN	GGN	GOA	CDG	RAJ	KOL	TOT	DEL	MUM	PUN	GGN	GOA	CDG	RAJ	KOL	TOT	DEL	MUM	PUN	GGN	GOA	CDG	RAJ	KOL	GTOT		HL
VOLUME	DUVEL										0	150	35	20	15	20	10		30	280	125	25	15	10		5		15	195	125	15	10	10		10		30	200	125	15	10	10		5	5	15	185	125	20	20	10	50	10	3	30	268	50	20	20	10	10	5	5	15	135	100	40	20	5	10		3	30	208	100	40	20	5	10		5	15	195	50	15	10	2				15	92	50	15	10	2	10		3	15	105	150	40	20	5	50			15	280	1150	280	175	84	160	45	24	225	2143		169.7256
	TOTALS		0	0	0	0	0	0	0	0	0	700	275	180	140	100	50	0	100	1545	725	205	125	100	0	25	0	50	1230	775	135	100	100	50	50	0	100	1310	775	125	100	100	0	25	50	50	1225	825	250	175	115	150	50	30	100	1695	600	250	175	100	50	25	50	50	1300	510	250	150	50	50	0	30	100	1140	510	250	150	50	50	0	50	50	1110	400	100	80	25	0	0	0	50	655	425	100	80	25	50	0	30	50	760	850	250	150	50	150	0	0	50	1500	7095	2190	1465	855	650	225	240	750	13470		1066.824
																																																																																																																									
REVENUE	DUVEL		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.03	0.88	0.50	0.43	0.57	0.29	0.00	0.81	7.50	3.36	0.63	0.38	0.29	0.00	0.14	0.00	0.40	5.19	3.36	0.38	0.25	0.29	0.00	0.29	0.00	0.81	5.36	3.36	0.38	0.25	0.29	0.00	0.14	0.14	0.40	4.96	3.36	0.50	0.50	0.29	1.44	0.29	0.09	0.81	7.26	1.34	0.50	0.50	0.29	0.29	0.14	0.14	0.40	3.61	2.68	1.00	0.50	0.14	0.29	0.00	0.09	0.81	5.51	2.68	1.00	0.50	0.14	0.29	0.00	0.14	0.40	5.16	1.34	0.38	0.25	0.06	0.00	0.00	0.00	0.40	2.43	1.34	0.38	0.25	0.06	0.29	0.00	0.09	0.40	2.80	4.03	1.00	0.50	0.14	1.44	0.00	0.00	0.40	7.51	30.87	7.01	4.38	2.41	4.60	1.29	0.69	6.04	57.29		
	LIEFMANS		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.10	0.61	0.29	0.34	0.00	0.00	0.00	0.00	3.33	2.10	0.46	0.19	0.11	0.00	0.00	0.00	0.00	2.86	2.10	0.31	0.10	0.11	0.00	0.00	0.00	0.00	2.61	2.10	0.31	0.10	0.11	0.00	0.00	0.11	0.00	2.72	2.10	0.61	0.29	0.11	0.00	0.00	0.07	0.00	3.18	1.05	0.61	0.29	0.11	0.00	0.00	0.11	0.00	2.17	1.57	0.61	0.29	0.11	0.00	0.00	0.07	0.00	2.65	1.57	0.61	0.29	0.11	0.00	0.00	0.11	0.00	2.70	1.05	0.15	0.10	0.04	0.00	0.00	0.00	0.00	1.34	1.57	0.15	0.10	0.04	0.00	0.00	0.07	0.00	1.93	2.10	0.61	0.29	0.11	0.00	0.00	0.00	0.00	3.11	19.39	5.07	2.30	1.32	0.00	0.00	0.54	0.00	28.62		
	CHIMAY		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.44	0.37	0.61	0.52	0.00	0.35	0.00	0.00	4.30	2.44	0.15	0.31	0.35	0.00	0.17	0.00	0.00	3.42	2.44	0.15	0.31	0.35	0.00	0.35	0.00	0.00	3.59	2.44	0.15	0.31	0.35	0.00	0.17	0.17	0.00	3.59	2.44	0.37	0.61	0.35	0.00	0.35	0.10	0.00	4.23	1.30	0.37	0.61	0.35	0.35	0.17	0.17	0.00	3.33	1.63	0.37	0.61	0.17	0.35	0.00	0.10	0.00	3.24	1.63	0.37	0.61	0.17	0.35	0.00	0.17	0.00	3.31	1.30	0.15	0.31	0.07	0.00	0.00	0.00	0.00	1.83	1.30	0.15	0.31	0.07	0.35	0.00	0.10	0.00	2.28	2.44	0.37	0.61	0.17	0.00	0.00	0.00	0.00	3.60	21.79	2.98	5.22	2.92	1.39	1.57	0.83	0.00	36.70		
	WEIHENSTEPHANER		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.25	0.60	0.37	0.36	0.36	0.00	0.00	0.00	2.94	1.25	0.37	0.22	0.18	0.00	0.00	0.00	0.00	2.03	1.25	0.22	0.15	0.18	0.00	0.00	0.00	0.00	1.81	1.25	0.22	0.15	0.18	0.00	0.00	0.09	0.00	1.89	2.51	0.60	0.37	0.45	0.89	0.00	0.05	0.00	4.87	2.51	0.60	0.37	0.27	0.00	0.00	0.09	0.00	3.83	0.84	0.45	0.22	0.09	0.00	0.00	0.05	0.00	1.65	0.84	0.45	0.22	0.09	0.00	0.00	0.09	0.00	1.69	0.84	0.15	0.15	0.05	0.00	0.00	0.00	0.00	1.19	0.84	0.15	0.15	0.05	0.00	0.00	0.05	0.00	1.24	1.67	0.45	0.22	0.09	0.89	0.00	0.00	0.00	3.33	15.04	4.25	2.61	1.99	2.15	0.00	0.43	0.00	26.46		
	FRUEH		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.21	0.57	0.36	0.35	0.00	0.17	0.00	0.00	2.66	1.21	0.36	0.22	0.17	0.00	0.09	0.00	0.00	2.05	1.21	0.22	0.14	0.17	0.00	0.17	0.00	0.00	1.92	1.21	0.22	0.14	0.17	0.00	0.09	0.09	0.00	1.92	2.42	0.57	0.36	0.43	0.00	0.17	0.05	0.00	4.01	2.42	0.57	0.36	0.26	0.17	0.09	0.09	0.00	3.96	0.81	0.43	0.22	0.09	0.17	0.00	0.05	0.00	1.77	0.81	0.43	0.22	0.09	0.17	0.00	0.09	0.00	1.80	0.81	0.14	0.14	0.03	0.00	0.00	0.00	0.00	1.13	0.81	0.14	0.14	0.03	0.17	0.00	0.05	0.00	1.35	1.62	0.43	0.22	0.09	0.00	0.00	0.00	0.00	2.35	14.54	4.09	2.51	1.88	0.69	0.78	0.41	0.00	24.92		
	ESTRELLA DAMM		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.35	0.83	0.55	0.58	0.58	0.29	0.00	0.54	4.71	2.02	0.83	0.44	0.72	0.00	0.14	0.00	0.27	4.43	1.35	0.44	0.28	0.50	0.72	0.29	0.00	0.54	4.12	1.35	0.33	0.28	0.50	0.00	0.14	0.22	0.27	3.09	1.35	0.83	0.55	0.43	0.72	0.29	0.14	0.54	4.85	1.01	0.83	0.55	0.36	0.29	0.14	0.22	0.27	3.67	1.35	0.83	0.50	0.22	0.29	0.00	0.14	0.54	3.86	1.35	0.83	0.50	0.22	0.29	0.00	0.22	0.27	3.66	1.01	0.33	0.28	0.14	0.00	0.00	0.00	0.27	2.03	1.01	0.33	0.28	0.14	0.29	0.00	0.14	0.27	2.46	2.02	0.83	0.50	0.22	0.72	0.00	0.00	0.27	4.55	15.15	7.25	4.70	4.03	3.89	1.30	1.08	4.04	41.44		
	BROOKLYN LAGER		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.31	0.33	0.24	0.19	0.37	0.00	0.00	0.00	2.44	1.31	0.24	0.24	0.09	0.00	0.00	0.00	0.00	1.89	2.62	0.24	0.24	0.19	0.00	0.00	0.00	0.00	3.30	2.62	0.24	0.24	0.19	0.00	0.00	0.09	0.00	3.39	1.31	0.24	0.24	0.09	0.00	0.00	0.04	0.00	1.93	0.87	0.24	0.24	0.19	0.00	0.00	0.09	0.00	1.64	0.87	0.24	0.24	0.09	0.00	0.00	0.04	0.00	1.49	0.87	0.24	0.24	0.09	0.00	0.00	0.09	0.00	1.55	0.87	0.16	0.08	0.04	0.00	0.00	0.00	0.00	1.16	0.87	0.16	0.08	0.04	0.00	0.00	0.04	0.00	1.19	1.75	0.24	0.24	0.09	0.00	0.00	0.00	0.00	2.33	15.29	2.60	2.36	1.29	0.37	0.00	0.39	0.00	22.31		
	BROOKLYN IPA		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.87	0.33	0.16	0.09	0.00	0.00	0.00	0.52	1.98	0.87	0.24	0.08	0.00	0.00	0.00	0.00	0.26	1.46	1.31	0.24	0.24	0.19	0.00	0.00	0.00	0.52	2.51	1.31	0.24	0.24	0.19	0.00	0.00	0.09	0.26	2.34	0.87	0.24	0.08	0.09	0.00	0.00	0.06	0.52	1.87	0.61	0.24	0.08	0.19	0.00	0.00	0.09	0.26	1.48	0.61	0.24	0.08	0.09	0.00	0.00	0.06	0.52	1.61	0.61	0.24	0.08	0.09	0.00	0.00	0.09	0.26	1.39	0.61	0.16	0.08	0.04	0.00	0.00	0.00	0.26	1.16	0.61	0.16	0.08	0.04	0.00	0.00	0.06	0.26	1.21	1.31	0.24	0.08	0.09	0.00	0.00	0.00	0.26	1.99	9.61	2.60	1.30	1.10	0.00	0.00	0.45	3.93	19.00		
